addresstypes | 家庭 | addresstype.alias=家庭
addresstypes_list_number | 一 | addresstype.listindex=1
addresstypes_list_ordinal | 第一 | addresstype.listindex=1
alarm_datetime | 星期二 中午 | time.enddayofweek=星期二	time.start24hourtimenum2=12:00
alarm_day | 星期二 | day.enddayofweek=星期二
alarm_list | 钢琴 课 | alarm.name=钢琴 课
alarm_list_cardinal | 一 | alarm.listindex=1
alarm_list_ordinal | 第一 | alarm.listindex=1
alarm_name | 喂 狗 | name.value=喂 狗
alarm_recurday | 每 周二 | recurday.weekdaylist=3
alarm_span | 明天早上 | alarm_span.dayindex=1	alarm_span.start24hourtimenum2=06:00
alarm_time | 凌晨 | time.start24hourtimenum2=00:00
alarm_time2 | 中午 | time2.start24hourtimenum2=12:00
app_shortcut | 拍照 | shortcut.formal=相机
appointment_list | 语义学 期中 考试 | appointment_list.name=语义学 期中 考试
appointment_list_number | 二 | appointment_list.listindex=2
appointment_list_ordinal | 第二 | appointment_list.listindex=2
bookmarks | 加勒比 海盗 | bookmark.name=加勒比 海盗
calendar_ampm_switch | 下午 | calendar_ampm_switch.value=afternoon
calendar_category | 事件 | calendar_category.formal=事件
calendar_datetime | 星期一 中午 | datetime.enddayofweek=星期一	datetime.start24hourtimenum2=12:00
calendar_days | 星期一 | day.enddayofweek=星期一
calendar_duration | 三 小时 | duration.duration=0y, 0.0m, 0d, 3h, 0m, 0s 
calendar_eventswithparticipants | 聚会 | eventswithparticipants.formal=聚会
calendar_itemdatetime | 星期二 下午 一点 | datetime.enddayofweek=星期二	datetime.start24hourtimenum2=13:00
calendar_itemday | 星期二 | day.enddayofweek=星期二
calendar_itemtime | 下午 三点 | c_time.start24hourtime=15:00
calendar_location | 足球 场 | location.value=足球 场
calendar_ordinal | 第一 | ordinal.value=1
calendar_priority | 高 | priority.formal=高
calendar_recurrence | 每 周三 | recurrence.weekdaylist=4
calendar_status | 等待 确认 | calendar_status.formal=等待 确认
calendar_subject | 统计学 课 | subject.value=统计学 课
calendar_time | 下午 两点 | c_time.start24hourtime=14:00
cities | 北京 | location.city=北京
cities2 | 西雅图 | location2.city=西雅图
cities_world | 巴黎 | location.city=巴黎
cities_world2 | 圣地亚哥 | location2.city=圣地亚哥
city | 北京 | location.city=北京
city2 | 上海 | location2.city=上海
city_international | 巴黎 | location.city=巴黎
city_international2 | 莫斯科 | location2.city=莫斯科
citycountries | 德国 柏林 | location.citycountry=德国 柏林
citycountries2 | 珀斯 | location2.city=珀斯
citystates | 陕西省 西安市 | location.citystate=陕西省 西安市
citystates2 | 马萨诸塞州波士顿 | location2.citystate=马萨诸塞州 波士顿
clock_datepoint1 | 星期一 | clock_date1.enddayofweek=星期一
clock_datepoint2 | 星期二 | clock_date2.enddayofweek=星期二
clock_day | 星期二 | clock_day.enddayofweek=星期二
clock_holiday | 端午节 | clock_holiday.alias=端午节
clock_holiday_unsupported | 光明 节 | clock_holiday.Holiday=光明 节
clock_period | 2014年春天 | clock_period.yearnum4=2014
clock_time | 下午 五点 | clock_time.start24hourtime=17:00
clock_time_future | 2014 | clock_time.yearnum4=2014
clock_time_past | 2012 | clock_time.yearnum4=2012
clock_year | 2014 | clock_time.yearnum4=2014
common_apps | 新浪 微博 | app.alias=新浪 微博
common_names | 陈菲菲 | common_names.cName=陈菲菲
contacts | 张晓勇 | fullname.fullname_alias=张晓勇
contacts_catch | 朱梦飞 | contact_catch.value=朱梦飞
datatypes_list_number | 二 | datatype.listindex=2
datatypes_list_ordinal | 第二 | datatype.listindex=2
day | 星期三 | day.enddayofweek=星期三
day_rel | 两 天 后 | day_rel.enddayindex=2
day_rel | 明天 | day_rel.enddayindex=1
days | 星期二 | day.enddayofweek=Tuesday
days_relative | 明天 | day_rel.enddayindex=1
emailtypes | 公司 | emailtype.alias=company
emailtypes_list_number | 二 | emailtype.listindex=1
emailtypes_list_ordinal | 第二 | emailtype.listindex=2
eventtypes | 生日 | eventtype.alias=birthday
eventtypes_list_number | 二 | eventtype.listindex=2
eventtypes_list_ordinal | 第二 | eventtype.listindex=2
firstname_phonetic | 永浩 | firstname.firstname_phonetic=永浩
firstname_phonetic | 永浩的 | firstname.firstname_phonetic=永浩
firstnames | 永浩 | firstname.firstname_alias=永浩
fullname_phonetic | 罗永浩 | fullname.fullname_phonetic=罗永浩
groups | 同事 | group.alias=同事
groups_catch | 闺蜜 | group_catch.value=闺蜜
groups_list_number | 一 | group.listindex=1
groups_list_ordinal | 第一 | group.listindex=1
headlines_list | 新 贸易 协定 | story.title=新 贸易 协定
headlines_list_cardinal | 二 | story.listindex=2
headlines_list_ordinal | 第二 | story.listindex=2
hfd_list | 周杰伦 | listnumber.listindex=1
hfd_list_number | 一 | listnumber.listindex=1
hfd_ordinal_number | 第一 | listnumber.listindex=1
hfd_partial_name_list | 元芳 | contact.listindex=2
hfd_partial_name_list_number | 二 | contact.listindex=2
hfd_partial_name_ordinal_number | 第二 | contact.listindex=2
hfd_phone_number | 1 1 1 2 2 2 4 4 4 4 | phone.value=1112224444 
hfd_phonetypes_list_number | 一 | phonetype.listindex=1
hfd_phonetypes_list_ordinal | 第一 | phonetype.listindex=1
hfd_sms_dictation | 宇宙 中心 五道口 | message.value=宇宙 中心 五道口
installed_apps | 微信 | app.formal=微信
lastname_phonetic | 老钱 | lastname.lastname_phonetic=老钱
lastnames | 老钱 | lastname.lastname_alias=老钱
localbusiness | 全聚德 烤鸭店 | business.value=全聚德 烤鸭店
localbusiness_followup | 全聚德 烤鸭店 | business.value=全聚德 烤鸭店
memo_content | 植物 大 战 僵尸 | content.value=植物 大 战 僵尸
memo_content2 | 保卫 萝卜 | newContent.value=保卫 萝卜
memo_date | 星期五 | date.enddayofweek=星期五
memo_list_number | 一 | memo.listindex=1
memo_list_ordinal | 第一 | memo.listindex=1
memo_title | 游戏 | title.value=游戏
memo_title2 | 瑜伽 | newTitle.value=瑜伽
memo_type | hybrid | type.alias=hybrid
music_albums_popular | 依然 范特西 | album.cAlbum=依然 范特西
music_albums_user | 叶惠美| album.cAlbum=叶惠美
music_artists_popular | 唐朝 乐队 | artist.cArtist=唐朝 乐队
music_artists_user | 姚贝娜 | artist.cArtist=姚贝娜
music_catch | 爱 在 西元 前 | music_catch.value=爱 在 西元 前
music_genres_popular | 黑人 饶舌 | genre.cGenre=黑人 饶舌
music_genres_user | 摇滚 | genre.cGenre=摇滚
music_list | 列表 一 | music.value=1
music_list_number | 一 | music.listindex=1
music_list_ordinal | 第一 | music.listindex=1
music_moods_music_square | 激动 | mood.mood=激动
music_moods_user | 伤感| mood.alias=伤感
music_playlists | 红色 经典 | playlist.cPlaylist=红色 经典
music_songs_popular | 小 苹果 | song.cSong=小 苹果
music_songs_user | 老鼠 爱 大米 | song.cSong=老鼠 爱 大米
navigation_personal_destination | 家 | Destination.alias=家
news_categories | 体育 | category.value=体育
news_categories | 科技 | category.alias=科技
news_categories_list_cardinal | 一 | category.listindex=1
news_categories_list_cardinal | 二 | category.listindex=2
news_categories_list_ordinal | 第一 | category.listindex=1
news_categories_list_ordinal | 第二 | category.listindex=2
news_engines | 百度 | newsengine.formal=百度
news_keywords | 宇宙 空间 站 | keywords.value=宇宙 空间 站
news_keywords | vbt_news_keywords | keywords.value=vbt_news_keywords
nickname_phonetic | 老师 | nickname.nickname_phonetic=老师
nicknames | 教授 | nickname.nickname=教授
old_recipient | 菲菲 | old_recipient.value=菲菲
participant_list | 彦宏 | participant_list.listindex=2
participant_list_number | 二 | participant_list.listindex=2
participant_list_ordinal | 第二 | participant_list.listindex=2
phonetypes | 手机 | phonetype.alias=mobile
phonetypes_list_number | 二 | phonetype.listindex=2
phonetypes_list_ordinal | 第二 | phonetype.listindex=2
poi_address_catchall | 建国门内大街十九号 | location.value=建国门 内 大街 十九 号
poi_business | 华润 集团 | business.formal=华润 集团
poi_categories | 会计 事务所 | category.alias=会计 事务所
poi_categories_special | 特别 号 | category.alias=特别 号
poi_cuisine_type | 川菜 | cuisineType.formal=饭店
poi_filterdistance | 五 | filterdistance.intval=5
poi_international_business | 微软 | business.alias=微软
poi_landmark | 天安门 | landmark.alias=天安门
poi_list | 朝阳 大悦城 | poiitem.name=朝阳 大悦城
poi_list_cardinal | 一 | poiitem.listindex=1
poi_list_number | 一 | poiitem.listindex=1
poi_list_ordinal | 第一 | poiitem.listindex=1
poi_national_business | 星巴克 | business.alias=星巴克
poi_shortcuts | 我饿了 | category.alias=饭店
searchengines | 百度 | searchengine.alias=百度
searchterms | 广场舞 | searchterm.value=广场舞
sender_list | 谢 霆锋 | sender.fullname=谢 霆锋
sender_list_cardinal | 二 | sender.listindex=2
sender_list_ordinal | 第二 | sender.listindex=2
settings_setting_name | 自动 转屏 | settingDetail.settingName=自动 转屏
settings_touch_only | 屏幕 亮度 | touch_only_setting.settingName=屏幕 亮度
system_nbest_list_ordinal | 第二 | selection.listindex=2
system_nbest_list_selection | 二 | selection.listindex=2
system_unknown_list_index | 第 十九 | selection.value=19
system_unknown_list_item | 无 匹配 的 结果 | selection.value=无 匹配 的 结果
timer_time | 五分钟 | timer.minutes=5
unsupported_command | 不 支持 | unsupported.value="unsupported"
url | www.archive.org | url.value=www.archive.org
WebSearchAgentWhiteList | 习近平 | searchterm.value=习近平
websites | sohu.com | website.alias=sohu.com
websites_broad | 网易 | website.alias_broad=网易
